phase,signal,dir,qe,qx,thr_e,thr_x,minh,maxh,stop,lev,killswitch,score,tot,dd,nt,wr,pf,sharpe,tot_train,tot_test,dd_test,cagr_test,pnl_2022,dd_2022,y2020,y2021,y2022,y2023,y2024,y2025,y2026,n_long,n_short
1,varswap_iv,high,0.8,0.5,62.392900924852704,36.03480988683741,10,30,0.1,1.0,True,6.841327424125511,8.141059790377202,27.31136835063283,8,62.5,1.3613902964298732,0.15887827314008954,-13.043875606311662,24.362787031279588,10.856904648054842,6.62198600724504,-1.4596557463253057,22.996436681014952,-11.755814278631727,0.0,-1.4596557463253057,0.0,16.854619690643524,6.425220808995746,0.0,,
1,atm_iv,high,0.8,0.5,53.06862562375165,30.722112899757928,5,30,0.05,1.0,True,6.8057007264412945,9.813790939263578,30.11200866285965,13,53.84615384615385,1.3095868366419077,0.17552675050567493,-16.394232076725334,31.34714705334696,12.416294279867413,8.349121582830922,-5.256343814808872,29.918465607209377,-11.755814278631727,0.0,-5.256343814808872,0.0,18.853268816780155,10.512019030647712,0.0,,
1,atm_iv,high,0.8,0.5,53.06862562375165,30.722112899757928,5,30,0.1,1.0,True,6.3332306724095515,7.905933873321791,29.99804296130506,10,70.0,1.3343831988916321,0.15604357363615162,-17.747558448772548,31.188730496367256,12.351141191004094,8.310674896330262,-6.789959158396908,29.862931652637016,-11.755814278631727,0.0,-6.789959158396908,0.0,18.853268816780155,10.37873152534241,0.0,,
1,varswap_iv,high,0.8,0.5,62.392900924852704,36.03480988683741,10,30,0.08,1.0,True,6.316276629626639,6.220372725908829,27.30931553458801,8,62.5,1.3086371087903372,0.13845536313084555,-14.58829826707535,24.362787031279588,10.856904648054842,6.62198600724504,-3.2098250613215473,22.994262006011407,-11.755814278631727,0.0,-3.2098250613215473,0.0,16.854619690643524,6.425220808995746,0.0,,
1,varswap_iv,high,0.8,0.5,62.392900924852704,36.03480988683741,10,30,0.15,1.5,True,5.761465791949643,7.864259475218183,39.446877946167845,8,62.5,1.3661744163079512,0.16300168823515662,-21.51152445126193,37.42687537387446,15.554862342902467,9.800523532340776,-4.742693602870474,33.48576180592251,-17.603721417947593,0.0,-4.742693602870474,0.0,25.311929535965284,9.667831213493617,0.0,,
2,varswap_iv+bf25+gex_norm_AND,,0.7,0.4,,,10,90,0.1,1.0,True,2.30100358405872,0.4017788521265775,26.03783905506799,9,66.66666666666666,1.1259856055735025,0.06273879890413459,-23.127468124984308,31.62795833938756,5.147526059460232,8.417192326100409,-13.52392772752532,24.435627140790114,-11.10543083779233,0.0,-13.52392772752532,9.767813024363758,19.914895553373,0.0,0.0,,
2,VOLwgt>=7,,0.7,0.4,,,10,90,0.12,1.0,True,1.5798101147473247,3.9131957034415077,33.133741661175904,15,60.0,1.199825386343185,0.11656787808733722,-22.17518287415523,33.52192724771987,11.626792115100141,8.873647565233966,-8.81040201482195,25.069256642347792,-14.656036603545042,0.0,-8.81040201482195,3.160772756204233,20.955505453935853,9.135942297799659,0.0,,
2,rn_p_down10_OR_rvi,,0.7,0.4,,,10,90,0.1,1.0,False,-1.3692270486761844,35.39675365586446,52.02563181105386,25,56.00000000000001,1.5821517242088672,0.32050314807144986,-26.280219581200736,83.66407616338607,23.075689561162587,19.576215287907985,-26.34971262565863,52.02563181105386,-0.8219684280610706,-0.6851733151825856,-26.34971262565863,19.030870265581434,5.4404113341632865,49.160294953102394,0.0,,
2,rn_p_down10_OR_rvi,,0.7,0.4,,,10,90,0.15,1.0,False,-1.8794182598202074,33.52116514487415,52.0675193796282,23,60.86956521739131,1.5845705640632939,0.31374201974747395,-26.221258646774302,80.9751192496271,23.016132677144093,19.058691537253235,-26.34882991454841,52.0675193796282,-0.7438356366279208,-0.6851733151825856,-26.34882991454841,19.030870265581434,3.8098023806883985,49.28515160146203,0.0,,
2,atm_iv+gex_norm+rn_p_down10_AND,,0.7,0.4,,,10,90,0.15,1.0,True,-2.1190014441592515,-16.700709551117566,35.885829213585794,8,62.5,0.690588699831428,-0.13663610966382003,-27.916950276168386,15.56016396090767,11.314445448802292,4.344786328843786,-6.077571256679725,30.286845541195508,-23.252570564559495,0.0,-6.077571256679725,4.1873268086057625,10.915758663425601,0.0,0.0,,
